"group","longitude","latitude"
11,-3.211621,58.813574
11,-3.158545,58.801221
11,-3.222119,58.780957
12,-2.938965,58.738623
12,-2.975391,58.756934
12,-3.035449,58.822656
12,-2.896436,58.827588
12,-2.938965,58.738623
13,-3.070703,59.00498
13,-2.81792,58.981885
13,-2.762451,58.955811
13,-2.826221,58.893262
13,-2.994824,58.939355
13,-3.166602,58.919092
13,-3.22334,58.93877
13,-3.242139,58.999707
13,-3.331641,58.97124
13,-3.353711,59.01875
13,-3.310352,59.130811
13,-3.248584,59.143945
13,-3.019238,59.076025
13,-3.070703,59.00498
14,-2.815234,59.161914
14,-2.861426,59.246826
14,-3.052051,59.323877
14,-2.975537,59.347119
14,-2.719922,59.219482
14,-2.815234,59.161914
15,-6.664453,56.579443
15,-6.569922,56.66123
15,-6.483691,56.665771
15,-6.607617,56.58501
15,-6.664453,56.579443
16,-5.10542,55.448828
16,-5.331494,55.481055
16,-5.392676,55.618359
16,-5.318115,55.70918
16,-5.185449,55.690967
16,-5.10498,55.573975
16,-5.10542,55.448828
17,-6.176172,56.288721
17,-6.32583,56.320947
17,-6.184863,56.356885
17,-6.138867,56.490625
17,-6.310645,56.552148
17,-6.286328,56.611865
17,-6.102734,56.645654
17,-5.94668,56.534521
17,-5.76084,56.490674
17,-5.777881,56.344336
17,-6.176172,56.288721
18,-6.128906,55.930566
18,-6.055322,55.695312
18,-6.253174,55.607227
18,-6.305078,55.606934
18,-6.27002,55.670313
18,-6.301758,55.780615
18,-6.495654,55.711572
18,-6.413184,55.854639
18,-6.128906,55.930566
19,-5.990918,55.803809
19,-6.060352,55.8229
19,-6.071973,55.893115
19,-5.911768,55.974756
19,-5.970312,55.992188
19,-5.939062,56.045264
19,-5.725146,56.118555
19,-5.990918,55.803809
20,-6.32583,58.188867
20,-6.55459,58.092871
20,-6.403369,58.075879
20,-6.425195,58.021289
20,-6.796582,57.827539
20,-6.956934,57.750049
20,-7.083447,57.81377
20,-6.856836,57.923535
20,-7.05708,58.003174
20,-6.985303,58.050488
20,-7.088477,58.095361
20,-7.085254,58.182178
20,-7.028418,58.222314
20,-6.726465,58.189404
20,-6.776465,58.301514
20,-6.237451,58.502832
20,-6.198682,58.363281
20,-6.32583,58.188867
21,-6.30874,56.951807
21,-6.383398,56.970898
21,-6.432617,57.01792
21,-6.278223,57.031396
21,-6.260547,56.985254
21,-6.30874,56.951807
22,-6.166064,57.585303
22,-6.135547,57.314258
22,-5.706006,57.268945
22,-5.668652,57.226904
22,-5.987305,57.044434
22,-6.034375,57.201221
22,-6.322705,57.20249
22,-6.442432,57.32749
22,-6.675439,57.362891
22,-6.761133,57.442383
22,-6.704199,57.495752
22,-6.583008,57.507129
22,-6.616797,57.562695
22,-6.378516,57.60332
22,-6.357666,57.666797
22,-6.305957,57.671973
22,-6.166064,57.585303
23,-7.092773,57.62666
23,-7.182617,57.533301
23,-7.320557,57.53374
23,-7.515625,57.615869
23,-7.470312,57.652539
23,-7.205566,57.682959
23,-7.092773,57.62666
24,-7.247559,57.126367
24,-7.381494,57.130664
24,-7.415918,57.192139
24,-7.410547,57.381104
24,-7.267139,57.371777
24,-7.247559,57.126367
25,-7.398926,56.98335
25,-7.542969,56.972363
25,-7.522949,57.006787
25,-7.398926,56.98335
26,-6.303662,54.094873
26,-6.649805,54.058643
26,-6.646875,54.163428
26,-6.802588,54.214355
26,-6.877246,54.329102
26,-7.007715,54.406689
26,-7.202588,54.301807
26,-7.155469,54.239502
26,-7.324512,54.133447
26,-7.606543,54.143848
26,-7.854932,54.215283
26,-7.884473,54.283789
26,-8.144824,54.453516
26,-7.754395,54.594922
26,-7.910596,54.69834
26,-7.550391,54.767969
26,-7.376904,55.027686
26,-7.218652,55.091992
26,-7.100635,55.048291
26,-6.947168,55.18252
26,-6.475049,55.241016
26,-6.12915,55.217383
26,-5.869189,54.916211
26,-5.716846,54.81748
26,-5.710742,54.75708
26,-5.879102,54.684375
26,-5.878613,54.641309
26,-5.58252,54.663428
26,-5.47041,54.500195
26,-5.483887,54.44165
26,-5.671094,54.549756
26,-5.655957,54.381738
26,-5.557812,54.370996
26,-5.606787,54.272559
26,-5.826172,54.23584
26,-5.937744,54.089062
26,-6.019043,54.05127
26,-6.303662,54.094873
27,-1.065576,50.690234
27,-1.196094,50.599219
27,-1.306299,50.588525
27,-1.563428,50.666113
27,-1.312793,50.773486
27,-1.065576,50.690234
28,30.796289,46.552002
28,30.656738,46.266504
28,30.219043,45.866748
28,29.821191,45.73208
28,29.685059,45.754688
28,29.628418,45.722461
28,29.601172,45.6
28,29.670313,45.540674
28,29.726953,45.343311
28,29.705859,45.259912
28,29.567676,45.370801
28,29.403711,45.419678
28,29.223535,45.40293
28,28.894336,45.289941
28,28.781738,45.309863
28,28.760742,45.234131
28,28.45127,45.292187
28,28.317676,45.347119
28,28.2125,45.450439
28,28.499023,45.517725
28,28.491602,45.665771
28,28.729297,45.852002
28,28.73877,45.937158
28,28.947754,46.049951
28,29.00625,46.176465
28,28.930566,46.362256
28,28.958398,46.458496
28,29.18623,46.523975
28,29.20459,46.379346
28,29.304883,46.466602
28,29.614941,46.398828
28,29.706836,46.44873
28,29.837891,46.350537
28,30.075684,46.377832
28,30.131055,46.423096
28,29.924316,46.538867
28,29.94248,46.723779
28,29.877832,46.828906
28,29.571973,46.964014
28,29.510938,47.128027
28,29.53916,47.270996
28,29.134863,47.489697
28,29.211133,47.775
28,29.194824,47.882422
28,29.125391,47.964551
28,28.923145,47.951123
28,28.773828,48.11958
28,28.530469,48.150293
28,28.463086,48.090527
28,28.423047,48.146875
28,28.340527,48.144434
28,28.347168,48.213037
28,28.291016,48.238574
28,28.088477,48.257031
28,28.038477,48.321289
28,27.82002,48.41626
28,27.549219,48.477734
28,27.228516,48.371436
28,26.84707,48.387158
28,26.618945,48.259863
28,26.305664,48.20376
28,26.276953,48.113232
28,26.162695,47.992529
28,25.464258,47.910791
28,25.169629,47.823096
28,25.073828,47.745703
28,24.893359,47.717773
28,24.578906,47.931055
28,24.484082,47.947119
28,24.177734,47.906055
28,23.669043,47.992334
28,23.408203,47.98999
28,23.139453,48.087402
28,23.054785,48.006543
28,22.87666,47.947266
28,22.857227,48.029541
28,22.769141,48.109619
28,22.582422,48.134033
28,22.520117,48.205371
28,22.350195,48.256055
28,22.253711,48.407373
28,22.131836,48.405322
28,22.142871,48.568506
28,22.295215,48.68584
28,22.538672,49.072705
28,22.839746,49.038916
28,22.84707,49.08125
28,22.705664,49.171191
28,22.732422,49.295166
28,22.649414,49.539014
28,22.706152,49.606201
28,23.036328,49.899072
28,23.711719,50.377344
28,23.972656,50.410059
28,24.089941,50.530469
28,24.094727,50.617041
28,23.978418,50.785596
28,24.105762,50.844971
28,24.095801,50.872754
28,23.985742,50.94043
28,23.863477,51.126221
28,23.664453,51.310059
28,23.679688,51.394922
28,23.605273,51.51792
28,23.608594,51.610498
28,23.64668,51.628857
28,23.97832,51.591309
28,24.280078,51.774707
28,24.361914,51.867529
28,25.066699,51.930518
28,25.785742,51.923828
28,26.773438,51.770703
28,27.141992,51.752051
28,27.296289,51.597412
28,27.689746,51.572412
28,27.7,51.477979
28,27.858594,51.592383
28,28.010742,51.559766
28,28.183789,51.607861
28,28.599023,51.542627
28,28.647754,51.456543
28,28.73125,51.433398
28,28.849512,51.540186
28,29.102051,51.627539
28,29.346484,51.382568
28,29.553125,51.43457
28,30.160742,51.477881
28,30.308984,51.399609
28,30.333398,51.325537
28,30.544531,51.265039
28,30.63252,51.35542
28,30.533008,51.596338
28,30.583887,51.688965
28,30.755273,51.895166
28,31,52.0522215783257
28,31,46.5953498190305
28,30.796289,46.552002
29,25.740234,40.105469
29,25.668945,40.135889
29,25.740918,40.196289
29,25.918359,40.237988
29,25.977051,40.177832
29,25.97002,40.136328
29,25.740234,40.105469
30,31,36.8440674457276
30,30.644043,36.865674
30,30.582031,36.797168
30,30.558496,36.52583
30,30.446094,36.269873
30,30.387305,36.243262
30,30.231641,36.307324
30,29.689063,36.156689
30,29.223633,36.324463
30,29.143262,36.397217
30,29.038281,36.693457
30,28.969629,36.715332
30,28.816895,36.675293
30,28.483594,36.803809
30,28.303711,36.811963
30,28.195605,36.686328
30,28.019434,36.634473
30,28.083984,36.751465
30,27.803809,36.736475
30,27.655859,36.674609
30,27.453906,36.712158
30,27.466895,36.746338
30,27.630859,36.78667
30,28.005371,36.831982
30,28.242383,37.029053
30,27.348926,37.01958
30,27.262988,36.976562
30,27.249707,37.07915
30,27.300195,37.126855
30,27.535059,37.163867
30,27.520117,37.249121
30,27.219238,37.38916
30,27.147949,37.603613
30,27.067969,37.65791
30,27.224414,37.725439
30,27.254785,37.882324
30,27.232422,37.978662
30,26.878613,38.054785
30,26.807422,38.13833
30,26.682813,38.19834
30,26.582422,38.149268
30,26.290723,38.277197
30,26.343652,38.370068
30,26.416406,38.367871
30,26.377832,38.62417
30,26.441309,38.641211
30,26.513574,38.629492
30,26.586523,38.557031
30,26.59502,38.418604
30,26.674219,38.335742
30,26.727344,38.418604
30,26.861426,38.372949
30,27.144238,38.451953
30,26.97041,38.447852
30,26.906836,38.481738
30,26.763672,38.709619
30,26.90918,38.775781
30,27.013672,38.886865
30,26.814941,38.960986
30,26.853613,39.115625
30,26.681836,39.292236
30,26.910938,39.517334
30,26.899219,39.549658
30,26.113086,39.467383
30,26.181348,39.990088
30,26.313379,40.025
30,26.738086,40.400244
30,27.012109,40.396338
30,27.12168,40.452344
30,27.28457,40.455615
30,27.332617,40.375928
30,27.475586,40.319922
30,27.728027,40.328809
30,27.848535,40.381738
30,27.731836,40.481494
30,27.874902,40.512939
30,27.989551,40.489453
30,27.928906,40.38042
30,27.962598,40.369873
30,28.289062,40.403027
30,29.007129,40.389746
30,29.055176,40.42417
30,28.787891,40.534033
30,29.054102,40.649121
30,29.844922,40.738086
30,29.364746,40.809277
30,29.113867,40.937842
30,29.045508,41.007568
30,29.094336,41.177246
30,29.148145,41.221045
30,29.919336,41.15083
30,30.344922,41.196924
30,30.810059,41.084863
30,31,41.094579016928
30,31,36.8440674457276
